순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,설명,할인율(%),설명길이
380,9791193523292,143785992,2025 강해준 경찰학 NEW 필기노트,32000,28800,1600,강해준 편저,새시대,,10.0,3
381,9791193851609,143755242,2025 형사법 능력평가 최단기 총정리,32000,28800,960,신호진 저,렉스스터디(LEX STUDY),"형사법 능력평가시험을 위하여 “형법각론” 및 “수사와 증거”를 최단기에 효율적으로 정리하기 위하여 만들어진 교재이다. 지난 7년간 실시되었던 경찰, 검찰 등 여러 시험의 기출문제를 철저히 분석하여 출제빈도가 높은 내용들을 기본서의 체계에 맞추어 일목요연하게 정리하였다. 이미 출제되었던 기출문제뿐만 아니라, 아직까지 출제되지는 않았지만 출제가능성이 매우 높은 최근 3년간의 판례까지 추가함으로써 기출문제만으로 공부할 경우에 발생하는 허점 내지 사각지대를 완벽하게 보완할 수 있도록 하였다. 또한 최신판례는 2025년 3월 1일자 판례공보까지 반영하였다.",10.0,309
382,9791136799159,142953265,명탐정 코난 106 일반판,6000,5400,300,"Aoyama Gosho 글,그림 ",서울미디어코믹스(서울문화사),"헤이지 일행이 모티브가 된 연극을 보러 온 코난 일행. 헤이지는 그곳에서 카즈하에게 고백하기로 결심한다. 장소는 노을이 보이는 ‘나니와 하루카스’!! 그런데 살인사건이 발생하면서, 고백은 시간 제한에 걸리고 마는데….",10.0,121
383,9791138388078,142873046,2025 시대에듀 한국실용글쓰기 실제 기출로 끝내기,20000,18000,1000,"이원근,김슬옹 공편저",시대고시기획 시대교육,"『2025 시대에듀 한국실용글쓰기 실제 기출로 끝내기』는 한국국어능력평가협회 인증 도서이다. 도서 내의 모든 문제는 기출문제로서, 출제 경향을 파악하여 시험을 효율적으로 준비할 수 있도록 하였다. [유형별 기출문제] + [빈출 이론] + [기출로 등급올리기(꼭 풀어봐야 할 기출문제)] + [최신 기출문제 2회분] + [등급 올리는 소책자]의 구성으로 빠르고 확실하게 시험을 준비할 수 있다.",10.0,219
384,9791169663687,141391202,2025 이동기 영어 신경향 실전동형 모의고사 Vol.2,11000,9900,110,이동기 저,에스티유니타스,『2025 이동기 영어 신경향 실전동형 모의고사 Vol.2』는 공무원 영어 시험 대비 최종 점검용으로 출제기조 전환에 대비한 8회분으로 구성된 모의고사이다. 인사혁신처에서 발표한 출제기조 전환에 따른 예시 문제를 다각도로 분석하여 가장 유사한 문제들만 엄선하였다. 철저한 문제 풀이 및 오답 분석을 담은 해설집과 OMR 카드를 수록해서 실전에 완벽하게 대비할 수 있다.,10.0,206
385,9791130671024,126457893,리버보이,15000,13500,750,팀 보울러 저/정해영 역,다산책방,"17년 연속 청소년 분야 베스트셀러
시대와 세대를 초월한 최고의 성장소설

출간 당시 『해리포터』를 제치고 만장일치로 카네기 메달을 수상한 성장소설의 정수 『리버보이』가 국내에 소개된 지 어느덧 17년의 시간이 흘렀다. 죽음을 앞둔 할아버지와 열다섯 살 손녀 제스의 가슴 먹먹한 이별 여행의 감동을 잊지 못한 첫 독자들은 이제 자신의 자녀들과 함께 『리버보이』를 다시 읽는다. 세대를 뛰어넘어 아이와 어른이 함께 읽는 『리버보이』는 명실상부 우리 시대 최고의 고전으로 자리매김했다. 한국어판 120쇄 돌파를 기념하며, 새로운 판형과 표지로 단장한 이번 전면개정판은 요즘 십 대들에게 더 편안하게 다가갈 수 있는 문장으로 다듬어 장기 베스트셀러로서의 품격과 완성도를 높였다.",10.0,376
386,9791198553317,124225606,[예스리커버] 내 몸 혁명,19500,17550,970,박용우 저,루미너스,"“체중계 눈금보다 ‘건강한 몸’이 먼저다.
몸이 회복되면 모든 것은 자연스럽게 해결된다!”
체지방 감량은 물론 혈압 · 혈당 · 중성지방 · 콜레스테롤 수치까지 개선!
살찌지 않는 건강한 몸을 위한 궁극적인 변화, 
4주간의 내 몸 혁명

뱃살과 체중을 줄이고 혈압, 혈당, 중성지방, 콜레스테롤 등 각종 대사이상에서 벗어나려면 단순히 체중계 눈금이 아니라 ‘내 몸’을 바꿔야 한다. 체중조절용 식품에 의존하거나 적게 먹는 다이어트, 죽어라 운동만 해서 숫자만 줄이는 다이어트가 아니라 근본 원인을 해결해 ‘대사이상’에서 벗어나야 한다. 몸이 회복되면 뱃살과 질병이 자연스럽게 해결된다. 이는 지난 7년간 ‘찾아가는 비만클리닉’을 통해 수많은 직장인들의 건강을 되찾아준 박용우 박사가 직접 경험하고 깨달은 것들이다. 

2017년부터 국내 굴지의 대기업에서 임직원들의 비만과 대사이상을 치료해온 박용우 박사의 건강 라이프코칭이 한 권의 책으로 묶였다.",10.0,476
387,9788954684316,106158494,여학교의 별 1,8500,7650,420,"와야마 야마 글,그림/현승희 역 ",문학동네,"『빠졌어, 너에게』 와야마 야마의 첫 장편만화 
2021년 [이 만화가 대단해!] 여성편 1위, 2022년 5위 연속 선정
일본 누계 100만 부(2022년 1월 기준) 돌파

“저 싫어하시죠? 폐만 끼치고, 늘 틱틱 대고.
하지만… 그건 진짜 제가 아니에요.”

또 한번 모두를 빠지게 할, 충격적으로 귀여운 선생님의 등장

학급일지에 펼쳐진 의문의 그림 끝말잇기와 불쑥 교실에 나타난 강아지. 당황스러운 상상력을 가진 만화가 지망생 학생과 동료 교사와의 시시콜콜한 회식까지. 어느 여학교 2학년 4반 담임 호시 선생님의 조금 엉뚱하고 제법 사랑스러운 일상 이야기.",10.0,317
388,9791196222628,57799398,회색 인간,13000,11700,650,김동식 저,요다,"2017년, 독자들이 발굴하여 등단한 김동식 소설가의 데뷔작 『회색 인간』 100쇄 기념 에디션. 100쇄를 기념해 독자들이 보내온 축전 가운데 50인의 글을 모아 부록에 실었다. 독서와 거리를 두었던 학생들, 새로운 화법의 소설에 목말라했던 문학 애호가들이 보내온 축전에서 드러나듯 이 작품은 7년이 지난 현재까지도 전 세대의 독자에게 꾸준한 사랑을 받으며 스테디셀러에 자리하고 있다.

오리지널 표지가 표제작의 주요 배경인 ‘지저 세계’를 표현했다면, 이번 특별판은 이야기의 결말을 '빛'으로 해석하여 새로운 장정으로 디자인했다. 참혹한 현실에서도 예술이 인간의 내면에 어떤 빛을 비추는지를 보여주는 「회색 인간」처럼, 이 작품집에 담긴 스물네 편의 이야기가 계속해서 독자들의 삶에 다양한 갈래의 희망으로 다가가길 바라본다.",10.0,407
389,9788997575169,9349031,원씽 THE ONE THING,16800,15120,840,"게리 켈러,제이 파파산 공저/구세희 역",비즈니스북스,"자기계발 新고전! 
2023 전 온라인 서점 결산 종합 베스트셀러!

“이 책에는 ‘부’와 ‘성공’을 안겨줄 무기가 들어 있다!”
자청, 신사임당 등 인플루언서의 강력 추천 인생 책!

2022, 2023년 연이어 종합 베스트셀러에 선정된《원씽》이 국내 60만 부 판매를 기념하여 스페셜 에디션으로 탄생했다! 수많은 언론과 매체, 인플루언서들이 연이어 《원씽》을 다시 찾아 읽고 강력하게 추천하는 이유는 무엇일까?",10.0,231
390,9791173320828,143618960,기억한다는 착각,22000,19800,1100,차란 란가나스 저/김승욱 역,김영사,"“오늘 점심 때 뭘 먹었더라?”
- 뇌는 기억하지 않는다

누구나 한 번쯤 무언가를 찾으러 부엌에 갔다가 “내가 뭘 찾고 있었지?”하며 머리를 긁적인 경험이 있을 것이다. 소득 없이 다시 방으로 돌아왔을 때 불현듯 찾으려 했던 물건이 기억나지 않았는가? 『기억한다는 착각』은 오랫동안 우리가 믿어왔던 기억에 대한 고정관념을 정면으로 뒤집으며, 기억의 메커니즘을 심층적으로 탐구한다. 흔히 우리는 기억을 잊어버린다는 사실에 좌절하고 스스로를 탓하지만, 25년 넘게 기억의 작동 방식을 연구해온 이 분야의 최고 권위자인 저자 차란 란가나스는 “곧이곧대로 기억하는 것은 놀라울 정도로 중요하지 않다”고 단언한다. 저자는 “왜 자꾸 잊어버리는가?”라는 질문 대신 “우리는 왜 기억하는가?”라는 근본적인 질문을 던져야 한다고 강조하며, 독자를 기억의 놀라운 세계로 안내한다.",10.0,428
391,9791142801099,144648861,이웃집 스텔라 7,6000,5400,300,Ammitsu 글그림/이소연 역,서울미디어코믹스(서울문화사),"「내가 없는 동안의 방어 대책」

츠바루는 치아키의 일갈에 영화에 같이 출연하는 마주와 ‘모의 데이트’를 하게 된다. 한편 치아키는 스바루를 응원하는 마음과 마주로 인한 불안감 사이에서 흔들리는데….",10.0,111
392,9791197924378,144130015,신약 수업,27000,24300,270,김호경 저,뜰힘,"“작금의 한국 교회가 숙고해야 할 성경 읽기.
대중의 성서학자, 김호경 교수의 고별 수업”

신약성경은 이천 년 전에 기록된 매우 오래된 책이다. 이 책을 쓴 사람들은 현대를 살아가는 우리와 전혀 다른 역사를 살았다. 하지만 신약성경의 사람들과 우리 사이에, 불일치한 삶의 정황을 너끈히 뛰어넘는 하나님에 대한 신앙의 공명이 이 시대에도 여전히 일어나고 있다. 김호경 교수는  이러한 ‘성경 읽기’가 어떻게 가능한지를 보여 준다. 신약성경은 다양한 삶의 자리에서 한 분 하나님을 경험한 이들의 신앙 고백이 담겨 있는 역사적인 책이다. 신약성경의 저자들은 자신들이 놓여 있는 시간과 공간 속에서 하나님의 뜻을 구하며 개인과 공동체의 삶을 해석해 냈다. 

성경 읽기란 성경의 이야기 속으로 들어가, 믿음의 사람들의 신앙 고백을 들여다보고 우리의 삶에 반영하는 행위다. 우리는 성경의 이야기에 비추어 지금 이곳을 살아가는 우리의 이야기를 해석해 낸다.",10.0,474
393,9791192405681,143000986,2025 김중규 ALL PASS 선행정학 모의고사 지방·서울9급,16000,14400,800,김중규 저,카스파,"철저히 2025 지방·서울 9급 시험에 출제경향과 난이도를 맞추어 출제가 유력하게 예상되는 문제만을 엄선하되, 인사혁신처 스타일의 문제 구성형식으로 통일하였다. 시간과 노력을 많이 들이지 않고도 실전에 충분히 대비될 수 있도록 시의성이 약간 떨어지거나 지나치게 지엽적인 문제, 오래된 문제 등은 배제하고 분량을 12회분으로 대폭 줄였다. 최근 새로 제정된 법령이나 개정사항(특히 「지방자치법」), 정부조직 개편내용 등을 반영한 새로운 문제들을 새로 추가하고 기존의 문제도 개편내용에 맞게 모두 수정하였다. 최근 행정학이 정형화된 기출문제의 틀에서 많이 벗어나 응용문제들이 다수 출제되고 있는 점을 감안하여 참신한 응용문제가 다수 포함되어 있다.",10.0,360
394,9791140712458,141695365,2025 시나공 정보처리기사 실기 기출문제집,22000,19800,1100,길벗알앤디 저,길벗,"인생은 실전, 기출 ZIP, 『2025 시나공 정보처리기사 실기 기출문제집』

『2025 시나공 정보처리기사 실기 기출문제집』은 최신 기출문제를 모아 만든 실전 대비용 초단타 합격 전략집이다.",10.0,107
395,9788936448752,133870359,고양이 해결사 깜냥 7,14000,12600,700,홍민정 글/김재희 그림,창비,"맛있는 냄새가 솔솔, 밤하늘 별이 총총
깜냥과 캠핑할 친구들 모여라!

어린이 베스트셀러 『고양이 해결사 깜냥』 7권 출간

대체 불가한 매력으로 사랑받는 ‘고양이 해결사 깜냥’이 일곱 번째 이야기로 돌아왔다. 하얀 고양이 하품이가 깜냥의 여정에 합류한 후 두 고양이의 눈길을 사로잡은 곳은 바로 강변의 캠핑장이다. 깜냥과 하품이는 자연 속에서 온갖 창의적인 놀이를 발견하고, 요리 대회에 참가해 요리 실력을 뽐내며 캠핑을 즐긴다. 두 고양이가 캠핑의 낭만을 만끽하며 단잠에 빠져들 무렵, 예상치 못한 귀신 소동이 일어나 평화롭던 캠핑장이 떠들썩해진다. 깜냥과 하품이는 해결사로서 능력을 발휘할 수 있을까? 먹고 싶은 것도, 하고 싶은 것도 다른 두 주인공의 귀여운 모습과 캠핑의 재미를 요모조모 표현한 이야기와 사랑스러운 그림이 독자들의 궁금증과 기대감을 한껏 높인다.",10.0,431
396,9791162052464,132951027,2025 심슨 문법 300제,15000,13500,750,심우철 저,심슨북스,"『심슨 영어』 N제 시리즈는 『심슨 영어』 기본서 시리즈에서 포괄적으로 학습한 내용을 문제 풀이에 적용하는 연습을 도와, 영역별 최신 시험 경향과 난이도를 파악함과 동시에 문제 해결 방식을 익힐 수 있는 교재이다. 올해 『심슨 영어』 300제 시리즈는 2025년부터 개편되는 공무원 영어 시험의 ‘지엽 탈피’라는 출제 기조를 반영한 결과, 불필요하고 지엽적인 내용을 최소화하여 문제 수에 대한 부담감은 덜고, 짧은 기간 내에도 핵심 문제 풀이 스킬을 완전히 습득할 수 있도록 하였다. 이중 『2025 심슨 문법 300제』는, 새롭게 변화하는 시험의 문법 문제에서 단락형은 강화되고 빈칸형이 새롭게 추가됨에 따라, 그 두 가지 유형에 철저히 대비할 수 있도록 구성되었다. 다양한 문법 포인트를 적용해 볼 수 있는 한 줄짜리 예열용 5문제와, 출제 가능성이 큰 문법 포인트들에 숙달할 수 있는 단락형 3문제 및 빈칸형 2문제가 DAY마다 수록되어 있다.",10.0,475
397,9791191114591,125905365,여행의 이유,16800,15120,840,김영하 저,복복서가,"“나는 그 무엇보다 우선 작가였고, 그다음으로는 역시 여행자였다.”

60만+ 독자의 선택!
2019년 전 서점 연간 종합베스트셀러 1위
최근 3년간 공공도서관에서 가장 많이 대출된 여행 책 1위

모방이 불가한 독보적인 사유와 눈부신 문장으로
여행-일상-여행의 순환을 감각하며 삶의 의미를 되짚는, 
김영하 산문의 정수!
『여행의 이유』 업그레이드 버전

2019년 출간 직후 독자들의 열렬한 호응 속에 읽혀온 김영하 산문 『여행의 이유』 개정증보판이 복복서가에서 출간된다. 코로나 팬데믹 이후 우리의 일상에서 여행이란 과연 어떤 것이었는지, 김영하만의 현란하면서도 명쾌한 사유의 경로를 통해 비로소 이해해보게 되는 글 「여행이 불가능한 시대의 여행법」이 추가된 이번 『여행의 이유』 개정증보판은 김영하 산문의 정수로 불릴 만하다.",10.0,410
398,9791197437304,99360153,백년허리1 진단편,18500,16650,920,정선근 저,언탱글링,"서울대 의대 재활의학과 정선근 교수의 스테디셀러인 ‘백년허리’의 개정증보판이다. 백년허리의 초판에서 고쳐야 할 부분을 대거 보충 하였을 뿐 아니라, 허리 통증은 진화의 축복이라는 요통에 대한 새로운 관점을 제시하고 있다. 요통이 축복이라는 관점은 통증에 대한 올바른 해석이 선행 되어야 한다. 저자는 독자 스스로가 그 해결책의 실마리를 찾을 수 있도록 하는 것이 집필의 목적이라고 하고 있다. 이어서 출간되는 ‘백년허리 2권 치료편’에서는 실제적인 치료 방법이 제시될 예정이다.",10.0,267
399,9791158510244,22793441,5년 후 나에게 - Q&A a day (오리지널),22000,19800,1100,포터 스타일 저/정지현 역,토네이도,"미국·영국 아마존 500주 연속 베스트셀러
전 세계에서 가장 사랑받는, 가장 아름다운 다이어리북

2022 한정판 메리골드 에디션 출시!
#빛나는 내일을 기대해

“당신 삶의 소중한 변화와 성장을 지금 이 책에 기록하세요”

2010년 미국에서 출간되어 영국, 유럽, 전 세계 다이어리북 시장을 석권한 《5년 후 나에게 : Q&A a day》가 2022 한정판 메리골드 에디션을 선보인다. 내가 몰랐던 나를 발견하고 우리 삶의 소중한 변화와 성장을 효율적으로 기록할 수 있도록 구성된 《5년 후 나에게 : Q&A a day》는 “#빛나는 내일을 기대해”라는 메시지를 담아 새롭게 태어났다. 메리골드 Edition은 심플하고 고급스러운 음각 디자인에 찬란한 골드 빛이 반짝이는 특수코팅이 되어 있어 바쁜 일상에 지친 나는 물론, 소중한 친구, 연인, 가족, 지인에게 선물하기 좋은 책이다.

이 책은 기존에 출시된 다이어리북과는 차원이 다르다.",10.0,471
400,9791138436939,144894585,던전에서 만남을 추구하면 안 되는 걸까 20 소책자 특장판,20000,18000,1000,오모리 후지노 저/야스다 스즈히토 그림/김민재 역,소미미디어,"『길드의 횡포를 용서하지 마라아아아아아아!!』
학생 투쟁 발발──!!
오리할콘 징수에 대해 불만을 폭발시킨 『학구』 학생들.
오라리오와의 모든 교류가 끊어지고, 온 도시가 소란스러워진 가운데, 축제를 좋아하는 신들이 이 기회를 놓칠 리 없었으니!
『오라리오 VS 학구 대표 시합! 오라리오피아드 시작이다아아아아아!!』
최대의 대표전을 맡아, 어느 쪽 진영에 붙어야 할지 고민하는 벨. 그러나.
“언젠가 약속했던 『모험』을 하자. 나에게 협력해다오, [볼드]벨[/볼드].”
한 『기사』가 지금, 영웅의 가치를 묻는다.",10.0,288
401,9791127881580,144214750,블루 아카이브 코믹 앤솔로지 5,9000,8100,450,NEXON GAMES 감수/김덕진 역,디앤씨미디어(D&C미디어),여기선 매일이 청춘의 1페이지.,10.0,17
402,9791172458577,143787978,타키포오 허징의 수상한 만물상점 3,14500,13050,720,원작 캐릭온TV 원저/안도감 글/김기수 그림,대원씨아이(단행)(대원키즈),"구독자 246만 〈캐릭온 TV〉의 오싹한 미스터리 시리즈!

식욕을 앗아 간 의문의 악령…
‘최강 입맛 물약’이 필요해!

배는 고프지만 무엇도 먹고 싶은 생각이 들지 않아 점점 기운을 잃어 가는 타키.
타키의 입맛을 되찾아 줄 ‘최강 입맛 물약’의 재료를 찾으러 포오는 ‘달곰도시’로 향한다.",10.0,164
403,9791136036674,142817409,2025 에듀윌 공인중개사 오시훈 키워드 암기장 부동산공법,19000,17100,950,오시훈 저,에듀윌,"반복의 끝은 곧 합격입니다.
기출지문을 제대로 학습하면, 부동산공법을 쉽게 정복할 수 있습니다!

15개년 부동산공법 핵심 기출지문, 15일만에 완성! 기출지문을 입체적으로 학습하고, 핵심 키워드만을 쉽고 빠르게 학습 가능. 반복학습이 용이하며, 다양한 용도로 활용 가능한 교재 구성.",10.0,159
404,9791168342491,141180543,불꽃 수영 대회,16800,15120,840,신현경 글/노예지 그림,북스그라운드,"뜨거운 인기! 28주 연속 서점 베스트셀러 
〈야옹이 수영 교실〉 시리즈 3권 출간

2024년 아산시 올해의 한 책
2024년 동대문구 올해의 한 책
대만 판권 수출작 
서울특별시교육청어린이도서관 권장 도서
어린이도서연구회 추천 도서
책씨앗 한 학기 한 권 읽기 추천 도서 
아침독서 추천 도서

어린이들의 열띤 사랑을 받는 〈야옹이 수영 교실〉 시리즈가 3권으로 돌아왔다. 첫 권 『야옹이 수영 교실』에서는 물이 낯설고 두려운 야옹이들이 물과 친해지고, 두 번째 권 『벚꽃 수영장』에서는 열심히 익힌 생존 수영으로 내 안전을 지킨다. 이제 수영을 즐길 만큼 성장한 야옹이들은 세 번째 권 『불꽃 수영 대회』에서 새로운 도전에 뛰어든다. ‘불꽃 마을’에서 열리는 수영 대회에 참가하기로 한 것인데, 특히 밍크는 이번 대회에서 꼭 우승해서 부모님께 자랑스러운 야옹이가 되겠다고 각오한다. 하지만 의욕만큼 몸이 따라 주지 않고 실수가 반복되며 힘겨운 시간을 보낸다.",10.0,483
405,9791136035141,138336767,2025 에듀윌 공인중개사 심정욱 합격서 민법 및 민사특별법,18000,16200,900,심정욱 편저,에듀윌,"핵심이론을 한눈에, 효율적인 민법 학습의 완성!
강의 노하우를 압축하여 담은 교재로 쉽게 합격하라!

이 책은 공인중개사 민법 핵심이론을 압축하여 체계적으로 정리하고, 수업에서 판서된 내용을 그대로 재현하여 필기 없이도 쉽게 이해할 수 있다. 문제의 핵심을 꿰뚫는 명확한 출제포인트를 통해 시험 준비에 빈틈이 없도록 돕는다. 또한, 민법의 주요 내용을 한 장으로 정리한 민법체계도를 수록하여 학습 전반을 한눈에 파악할 수 있다. 이 책과 함께라면 시험에서 민법 문제의 옳고 그름을 자신 있게 판단할 수 있을 것이다.",10.0,288
406,9788931475944,133676115,2025 이기적 컴퓨터활용능력 1급 필기+실기 올인원,40000,36000,2000,"홍태성,박윤정 저",영진닷컴,"『이기적 컴퓨터활용능력 필기+실기 올인원』 도서는 1급 필기와 실기를 하나의 도서로 한 번에 합격할 수 있도록 합본 구성하였다. 1권 필기는 대표 기출 60선에서 자주 출제되는 기출문제를 엄선하여 대표 문제를 포인트 설명과 함께 풀어 볼 수 있고, 핵심 암기 노트에는 실제 출제된 지문으로 암기할 핵심을 정리했다. 마지막으로 최신 2023~2024년 상시 기출문제를 복원하여 해설과 함께/따로 풀어볼 수 있도록 하여 실전 대비를 철저히 할 수 있다. 동영상 강의는 QR을 통해 무료 제공하고 있으며 추가 문제 5회분과 핵심요약 PDF도 도서 구매자에게 제공하고 있다. 2권 실기는 출제기준을 분석, 반영하여 다양한 유형의 문제를 풀어 볼 수 있고, 계산작업 문제 10회를 따로 구성하여 수험생들이 어려워하는 함수에 대비할 수 있도록 했다. 또한 상시 공략 문제 10회로 기출 문제를 풀어볼 수 있도록 하였다.",10.0,452
407,9791162203620,125761518,파과 (리커버),15800,14220,790,구병모 저,위즈덤하우스,"한국 소설에 가장 강렬하게 새겨질 새로운 여성 서사를 탄생시킨 구병모 작가의 《파과》가 새 옷을 갈아입었다. 40여 년간 날카롭고 냉혹하게 청부 살인을 업으로 삼아온 60대 여성 킬러 ‘조각(爪角)’. 몸도 기억도 예전 같지 않게 삐걱거리기 시작하면서 이제는 퇴물 취급을 받는다. 노화와 쇠잔의 과정을 겪으며 조각은 새삼스레 ‘타인’의 눈 속에 둥지를 튼 공허를 발견하게 된다. 소멸의 한 지점을 향해 부지런히 허물어지고 있는 모든 것, 깨지고 상하고 뒤틀린 살아 있는 모든 것에 대해 연민을 느끼며, 조각의 마음속에 어느새 지키고 싶은 것들이 하나둘 생겨나기 시작한다. 《파과》는 짧은 시간 빛나다 사라질 살아 있는 모든 것들에 대한 뜨거운 찬사다.",10.0,364
408,9791188609505,93760527,내 이름은 3번 시다,11900,10710,590,원유순 글/홍선주 그림,파란자전거,"3번 시다에서 노동자 이강순으로 
1970년 청계천 봉제 공장에서
공순이로, 아름다운 청년으로 살아 낸
열세 살 소녀의 치열하게 빛나는 삶을 그리다

일터 환경과 일하는 사람들의 권리에 대해 그 어느 때보다 관심이 높은 지금, 전태일 시대를 살았던 수많은 노동자가 겪고 변화시키려 했던 그 시작점의 세상과 생각을 읽는 것은 의미 있다 하겠다. ‘노동자’가 특정 직업만을 가리키는 것이 아니라 우리 모두의 삶이고 모습임을 깨닫는 것이 우리가 우리를 지키는 첫걸음이자 변화의 시작이 될 것이기에 그 시작점에서 다시 출발해 본다. 

원유순 작가는 1970년대 전후 산업 역군이라는 미명 아래 혹사당했던 청계천 공장 노동자의 생활 속으로 파고들었다. 그 속에서 건져 올린 『내 이름은 3번 시다』는 청계천 봉제 공장에서 일하는 어린 여성노동자의 열악한 생활과 애환, 우정과 꿈을 그리고 있다.",10.0,440
409,9788952783509,101402,꽃들에게 희망을,15000,13500,750,"트리나 폴러스 글,그림/김석희 역",시공주니어,"우리나라에 단 하나뿐인 정식 한국어판 『꽃들에게 희망을』

『꽃들에게 희망을』은 1972년 처음 출간된 이후 40년이 지난 지금까지도 스페인, 독일, 네덜란드, 포르투갈, 일본 등 전 세계적으로 수백만 부가 팔리며 많은 사랑을 받고 있는 베스트셀러다. 이 책의 작가 트리나 폴러스는 전 세계에 희망을 전파하는 일을 자신의 인생 목표로 삼고, 그 목표를 이루기 위한 최상의 방법이 책이라고 생각했다.",10.0,222
410,9791193080498,141694514,리얼 도쿄,21000,18900,1050,양미석 저,한빛라이프,"도쿄 여행을 선도하는 베스트셀러 가이드북
《리얼 도쿄》가 안내하는 가장 멋진 여행

수많은 독자의 선택을 받으며 최고의 가이드북으로 자리매김한 《리얼 도쿄》가 최신 개정판으로 돌아왔다. 20여 년의 시간 동안 시도 때도 없이 도쿄를 들락날락하며 여행자들을 위한 정보를 매의 눈으로 살펴온 저자가 올해도 어김없이 새로운 정보로 채워왔다. 새롭게 문을 연 쇼핑몰, 슈퍼마켓, 문구점을 비롯해 신규 맛집과 미술관 등을 추가해 도쿄를 더욱 풍부하게 즐길 수 있다. 또한 이제는 눈을 감고도 누빌 만큼 도쿄에 빠삭한 저자의 여행력과 노하우를 총망라한 교통편, 길 찾기 안내는 더없이 친절하다. 수십 년 동안 쌓아온 이 모든 데이터베이스를 바탕으로 완성한 추천 여행 코스는 최적의 동선으로 도쿄의 대표 명소와 요즘 핫한 장소를 모두 방문할 수 있도록 대폭 업그레이드해 AI보다도 정확하다.",10.0,435
411,9788901285894,129602366,불안 세대,24800,22320,1240,조너선 하이트 저/이충호 역,웅진지식하우스,"전 세계를 충격에 빠뜨린 2024년 최고의 문제작
우리는 왜 십대의 SNS 사용을 제한해야 하는가?

* 아마존 논픽션 종합 1위
* 출간 즉시 뉴욕 타임스(미국), 선데이 타임스(영국) 베스트셀러
* 최재천 이화여대 석좌교수 강력 추천

세계적인 사회심리학자 조너선 하이트의 신작 『불안 세대』가 전 세계를 뜨겁게 달구고 있다. 베스트셀러 『바른 마음』으로 ‘영미권에서 가장 논쟁적인 학자’으로 부상한 그는 스마트폰과 소셜 미디어, 인터넷이 청소년 정신 건강 위기를 초래하고 있다는 충격적인 주장을 내놓는다. 이 책은 출간 즉시 아마존 종합 1위, 뉴욕 타임스 베스트셀러, 선데이 타임스 베스트셀러를 기록하며 전 세계에 십대의 스마트폰과 SNS 규제 논쟁을 불러일으키고 있다.",10.0,379
412,9788937462788,6157159,노인과 바다,8000,7200,400,어니스트 헤밍웨이 저/김욱동 역,민음사,"미국 현대 문학의 개척자라 불리는 헤밍웨이는 제1차 세계대전 후 삶의 좌표를 잃어버린 ‘길 잃은 세대’를 대표하는 작가이다. 그러나 그동안 저작권 계약이 어려워, 국내에는 제대로 소개되지 못하다가 이번에 대표작 세 권을 동시에 선보이게 되었다.",10.0,136
413,9791198934666,144079802,마흔 고비에 꼭 만나야 할 장자,18800,16920,940,이길환 저,이든서재,"자유로운 철학자, 장자에게 행복의 기술을 배운다!
삶의 무게를 덜어내고, 쉼표가 되어줄 책

마음을 단단히 붙든다면
“가볍지만 흔들리지 않는다”

인생의 중반을 지나며 우리는 종종 스스로에게 묻는다. “이렇게 살아도 되는 걸까?” 젊은 시절의 열정과 패기가 어느새 무뎌지고, 일과 가정, 인간관계의 무게가 버거워질 때, 우리는 길을 잃은 듯한 감각에 사로잡힌다. 이제 마흔 길목에 들어선 이길환 작가의 신간 『마흔 고비에 꼭 만나야 할 장자』는 그러한 불안을 안고 살아가는 이들에게 장자의 가르침을 빌려 새로운 시각을 제시한다. 저자는 40대에 들어서면서 직장과 가정에서 만나는 크고 작은 사건과 고민 속에서 흔들리던 그때, 장자를 만나 커다란 위로와 희망, 삶의 방향을 찾았다.

이 책은 장자의 철학을 현재를 살아가는 사람들의 삶에 반영해, 인생의 복잡한 문제를 단순하고 본질적으로 바라보는 법을 이야기한다. 장자는 세상의 기준과 평가에 구애받지 않고 자유로웠던 인물이다.",10.0,490
414,9791173471148,143046618,슈뻘맨의 숨은 생물 찾기 1,15000,13500,750,슈뻘맨 원저/안치현 글/류수형 그림,미래엔아이세움,"슈뻘맨과 함께 관찰하며 배우는 생물 지식,
이 세상 모든 생물들과 친해질 거야~!

『슈뻘맨의 숨은 생물 찾기 1』은 슈뻘맨 동욱이, 영식이와 함께 생물을 직접 관찰하며, 생물의 특징과 생태, 더 나아가 환경에 대해 배우는 생물 지식 학습 만화입니다. 자연 다큐멘터리를 보다가 아름답고 신비로운 생물의 매력에 눈을 뜬 슈뻘맨은, 세계 곳곳에 숨은 생물을 찾아 여행을 떠납니다. 다양한 여행지에서 박진감 넘치는 특별한 경험을 하며, 생물에 대한 매력과 지식을 배워 나가지요. 자, 그럼 지금부터 슈뻘맨과 함께 숨은 생물을 찾으러 여행을 떠나 볼까요? 첫 번째 여행지는 푸른 초원에서 양과 염소들이 뛰노는 '목장'입니다!

도전, 대결 콘텐츠를 꿀잼 영상으로 풀어 내는 ‘슈뻘맨’

‘슈뻘맨’은 세상의 모든 도전과 대결을 도맡아 하는 전문 채널로, 구독자 92만 명, 누적 조회 수 5억 회(2025년 2월 기준)를 돌파했어요.",10.0,461
